route_id,dep_airport
683,Phoenix Sky Harbor International Airport
684,Phoenix Sky Harbor International Airport
685,Phoenix Sky Harbor International Airport
686,Phoenix Sky Harbor International Airport
687,Phoenix Sky Harbor International Airport
688,Phoenix Sky Harbor International Airport
689,Phoenix Sky Harbor International Airport
690,Phoenix Sky Harbor International Airport
691,Phoenix Sky Harbor International Airport
692,Phoenix Sky Harbor International Airport
693,Phoenix Sky Harbor International Airport
694,Pittsburgh International Airport
695,Pittsburgh International Airport
696,Pittsburgh International Airport
697,Pittsburgh International Airport
698,Pittsburgh International Airport
699,Pittsburgh International Airport
700,Pittsburgh International Airport
701,Portland International Airport
702,Portland International Airport
703,Portland International Airport
704,Portland International Airport
705,Portland International Airport
706,Portland International Airport
707,Punta Cana International Airport
708,Queen Beatrix International Airport
709,Raleigh Durham International Airport
710,Raleigh Durham International Airport
711,Raleigh Durham International Airport
712,Raleigh Durham International Airport
713,Raleigh Durham International Airport
714,Reno Tahoe International Airport
715,Richmond International Airport
716,Richmond International Airport
717,Rick Husband Amarillo International Airport
718,Rick Husband Amarillo International Airport
719,Rick Husband Amarillo International Airport
720,Ronald Reagan Washington National Airport
721,Ronald Reagan Washington National Airport
722,Sacramento International Airport
723,Sacramento International Airport
724,Sacramento International Airport
725,Sacramento International Airport
726,Sacramento International Airport
727,Sacramento International Airport
728,Sacramento International Airport
729,Salt Lake City International Airport
730,Salt Lake City International Airport
731,Salt Lake City International Airport
732,Salt Lake City International Airport
733,Salt Lake City International Airport
734,San Antonio International Airport
735,San Antonio International Airport
736,San Antonio International Airport
737,San Antonio International Airport
738,San Antonio International Airport
739,San Diego International Airport
740,San Diego International Airport
741,San Diego International Airport
742,San Diego International Airport
743,San Diego International Airport
744,San Diego International Airport
745,San Diego International Airport
746,San Diego International Airport
747,San Francisco International Airport
748,San Francisco International Airport
749,San Francisco International Airport
750,San Francisco International Airport
751,Sangster International Airport
752,Seattle Tacoma International Airport
753,Seattle Tacoma International Airport
754,Seattle Tacoma International Airport
755,Seattle Tacoma International Airport
756,Seattle Tacoma International Airport
757,Seattle Tacoma International Airport
758,Southwest Florida International Airport
759,Southwest Florida International Airport
760,Southwest Florida International Airport
761,St Louis Lambert International Airport
762,St Louis Lambert International Airport
763,St Louis Lambert International Airport
764,St Louis Lambert International Airport
765,St Louis Lambert International Airport
766,St Louis Lambert International Airport
767,St Louis Lambert International Airport
768,St Louis Lambert International Airport
769,Tampa International Airport
770,Tampa International Airport
771,Tampa International Airport
772,Tampa International Airport
773,Tampa International Airport
774,Tampa International Airport
775,Tampa International Airport
776,Tampa International Airport
777,Tampa International Airport
778,Tampa International Airport
779,Tampa International Airport
780,Tampa International Airport
781,Theodore Francis Green State Airport
782,Theodore Francis Green State Airport
783,Tucson International Airport
784,Tucson International Airport
785,Tucson International Airport
786,Tulsa International Airport
787,Valley International Airport
788,Valley International Airport
789,Valley International Airport
790,Will Rogers World Airport
791,Will Rogers World Airport
