route_id,dep_airport,arr_airport,airline_name
385,Austin Bergstrom International Airport,Norman Y. Mineta San Jose International Airport,Air Cudlua
386,Austin Bergstrom International Airport,Orlando International Airport,Air Cudlua
387,Austin Bergstrom International Airport,Phoenix Sky Harbor International Airport,Air Cudlua
388,Austin Bergstrom International Airport,Valley International Airport,Air Cudlua
389,Austin Bergstrom International Airport,William P Hobby Airport,Air Cudlua
390,Baltimore/Washington International Thurgood Marshall Airport,Bradley International Airport,Air Cudlua
391,Baltimore/Washington International Thurgood Marshall Airport,Buffalo Niagara International Airport,Air Cudlua
392,Baltimore/Washington International Thurgood Marshall Airport,Cleveland Hopkins International Airport,Air Cudlua
393,Baltimore/Washington International Thurgood Marshall Airport,Fort Lauderdale Hollywood International Airport,Air Cudlua
394,Baltimore/Washington International Thurgood Marshall Airport,General Edward Lawrence Logan International Airport,Air Cudlua
395,Baltimore/Washington International Thurgood Marshall Airport,General Mitchell International Airport,Air Cudlua
396,Baltimore/Washington International Thurgood Marshall Airport,Hartsfield Jackson Atlanta International Airport,Air Cudlua
397,Baltimore/Washington International Thurgood Marshall Airport,Indianapolis International Airport,Air Cudlua
398,Baltimore/Washington International Thurgood Marshall Airport,Jacksonville International Airport,Air Cudlua
399,Baltimore/Washington International Thurgood Marshall Airport,Kansas City International Airport,Air Cudlua
400,Baltimore/Washington International Thurgood Marshall Airport,Los Angeles International Airport,Air Cudlua
401,Baltimore/Washington International Thurgood Marshall Airport,Louis Armstrong New Orleans International Airport,Air Cudlua
402,Baltimore/Washington International Thurgood Marshall Airport,Luis Munoz Marin International Airport,Air Cudlua
403,Baltimore/Washington International Thurgood Marshall Airport,Manchester-Boston Regional Airport,Air Cudlua
404,Baltimore/Washington International Thurgood Marshall Airport,McCarran International Airport,Air Cudlua
405,Baltimore/Washington International Thurgood Marshall Airport,Nashville International Airport,Air Cudlua
406,Baltimore/Washington International Thurgood Marshall Airport,Orlando International Airport,Air Cudlua
407,Baltimore/Washington International Thurgood Marshall Airport,Palm Beach International Airport,Air Cudlua
408,Baltimore/Washington International Thurgood Marshall Airport,Phoenix Sky Harbor International Airport,Air Cudlua
409,Baltimore/Washington International Thurgood Marshall Airport,Raleigh Durham International Airport,Air Cudlua
410,Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,Air Cudlua
411,Baltimore/Washington International Thurgood Marshall Airport,Southwest Florida International Airport,Air Cudlua
412,Baltimore/Washington International Thurgood Marshall Airport,St Louis Lambert International Airport,Air Cudlua
413,Baltimore/Washington International Thurgood Marshall Airport,Tampa International Airport,Air Cudlua
414,Baltimore/Washington International Thurgood Marshall Airport,Theodore Francis Green State Airport,Air Cudlua
415,Baltimore/Washington International Thurgood Marshall Airport,Will Rogers World Airport,Air Cudlua
416,Baltimore/Washington International Thurgood Marshall Airport,William P Hobby Airport,Air Cudlua
