route_id,arr_airport
659,Luis Munoz Marin International Airport
660,Manchester-Boston Regional Airport
661,McCarran International Airport
662,Philadelphia International Airport
663,Phoenix Sky Harbor International Airport
664,Raleigh Durham International Airport
665,Richmond International Airport
666,Theodore Francis Green State Airport
667,William P Hobby Airport
668,Baltimore/Washington International Thurgood Marshall Airport
669,Hartsfield Jackson Atlanta International Airport
670,Hartsfield Jackson Atlanta International Airport
671,Orlando International Airport
672,Southwest Florida International Airport
673,Tampa International Airport
674,Albuquerque International Sunport
675,Austin Bergstrom International Airport
676,Chicago Midway International Airport
677,Denver International Airport
678,El Paso International Airport
679,Eppley Airfield
680,Indianapolis International Airport
681,Kansas City International Airport
682,Los Angeles International Airport
683,McCarran International Airport
684,Metropolitan Oakland International Airport
685,Norman Y. Mineta San Jose International Airport
686,Ontario International Airport
687,Sacramento International Airport
688,Salt Lake City International Airport
689,San Diego International Airport
690,San Francisco International Airport
691,Seattle Tacoma International Airport
692,St Louis Lambert International Airport
693,William P Hobby Airport
694,Baltimore/Washington International Thurgood Marshall Airport
695,Dallas Fort Worth International Airport
696,Hartsfield Jackson Atlanta International Airport
697,McCarran International Airport
698,Nashville International Airport
699,Orlando International Airport
700,Tampa International Airport
701,Albuquerque International Sunport
702,Kansas City International Airport
703,Metropolitan Oakland International Airport
704,Norman Y. Mineta San Jose International Airport
705,Phoenix Sky Harbor International Airport
706,Sacramento International Airport
707,Hartsfield Jackson Atlanta International Airport
708,Hartsfield Jackson Atlanta International Airport
709,Baltimore/Washington International Thurgood Marshall Airport
710,Hartsfield Jackson Atlanta International Airport
711,Nashville International Airport
712,Orlando International Airport
713,William P Hobby Airport
714,McCarran International Airport
715,Hartsfield Jackson Atlanta International Airport
716,Orlando International Airport
717,Dallas Love Field
718,Denver International Airport
719,McCarran International Airport
720,General Mitchell International Airport
721,Southwest Florida International Airport
722,Denver International Airport
723,Los Angeles International Airport
724,McCarran International Airport
725,Ontario International Airport
726,Phoenix Sky Harbor International Airport
727,San Diego International Airport
728,Seattle Tacoma International Airport
729,Denver International Airport
730,Los Angeles International Airport
731,Metropolitan Oakland International Airport
732,Phoenix Sky Harbor International Airport
733,Portland International Airport
734,Dallas Love Field
735,El Paso International Airport
736,St Louis Lambert International Airport
737,Tampa International Airport
738,William P Hobby Airport
739,Baltimore/Washington International Thurgood Marshall Airport
740,Denver International Airport
741,Kansas City International Airport
742,McCarran International Airport
743,Metropolitan Oakland International Airport
744,Norman Y. Mineta San Jose International Airport
745,Sacramento International Airport
746,San Francisco International Airport
747,Los Angeles International Airport
748,McCarran International Airport
749,Phoenix Sky Harbor International Airport
750,San Diego International Airport
751,Hartsfield Jackson Atlanta International Airport
752,Albuquerque International Sunport
753,Denver International Airport
754,McCarran International Airport
755,Norman Y. Mineta San Jose International Airport
756,Phoenix Sky Harbor International Airport
757,Sacramento International Airport
758,Baltimore/Washington International Thurgood Marshall Airport
759,Hartsfield Jackson Atlanta International Airport
760,Ronald Reagan Washington National Airport
761,Baltimore/Washington International Thurgood Marshall Airport
762,Denver International Airport
763,Eppley Airfield
764,Fort Lauderdale Hollywood International Airport
765,McCarran International Airport
766,Orlando International Airport
767,Phoenix Sky Harbor International Airport
768,William P Hobby Airport
769,Akron Canton Regional Airport
770,Baltimore/Washington International Thurgood Marshall Airport
771,Bradley International Airport
772,Indianapolis International Airport
773,James M Cox Dayton International Airport
774,John Glenn Columbus International Airport
775,Kansas City International Airport
776,Louis Armstrong New Orleans International Airport
777,Luis Munoz Marin International Airport
778,Nashville International Airport
779,Pittsburgh International Airport
780,William P Hobby Airport
781,Baltimore/Washington International Thurgood Marshall Airport
782,Orlando International Airport
783,Denver International Airport
784,Los Angeles International Airport
785,San Diego International Airport
786,Dallas Love Field
787,Dallas Love Field
788,San Antonio International Airport
789,William P Hobby Airport
790,Hartsfield Jackson Atlanta International Airport
791,William P Hobby Airport
792,Albuquerque International Sunport
793,Austin Bergstrom International Airport
794,Bill & Hillary Clinton National Airport/Adams Field
795,Branson Airport
796,Charlotte Douglas International Airport
797,Chicago Midway International Airport
798,Corpus Christi International Airport
799,Dallas Love Field
800,El Paso International Airport
801,Hartsfield Jackson Atlanta International Airport
802,Indianapolis International Airport
803,Jackson-Medgar Wiley Evers International Airport
804,Kansas City International Airport
805,Los Angeles International Airport
806,Louis Armstrong New Orleans International Airport
807,Memphis International Airport
808,Midland International Airport
809,Nashville International Airport
810,Northwest Florida Beaches International Airport
811,Orlando International Airport
812,Phoenix Sky Harbor International Airport
813,Pittsburgh International Airport
814,Raleigh Durham International Airport
815,San Antonio International Airport
816,St Louis Lambert International Airport
817,Valley International Airport
818,Will Rogers World Airport
819,Jose Joaquin de Olmedo International Airport
820,John F Kennedy International Airport
821,Mariscal Sucre International Airport
822,Miami International Airport
823,San Cristobal Airport
824,Seymour Airport
825,Mariscal Sucre International Airport
826,Jose Joaquin de Olmedo International Airport
827,Mariscal Lamar Airport
828,Miami International Airport
829,Jose Joaquin de Olmedo International Airport
830,Mariscal Sucre International Airport
831,Jose Joaquin de Olmedo International Airport
832,Jose Joaquin de Olmedo International Airport
833,Amsterdam Airport Schiphol
834,Charles de Gaulle International Airport
835,Humberto Delgado Airport (Lisbon Portela Airport)
836,Praia International Airport
837,Preguica Airport
838,Rabil Airport
839,Sao Pedro Airport
840,Sao Pedro Airport
841,Praia International Airport
842,Sao Pedro Airport
843,Praia International Airport
844,Amilcar Cabral International Airport
845,Praia International Airport
846,Rabil Airport
847,Sao Pedro Airport
848,Praia International Airport
849,Praia International Airport
850,Praia International Airport
851,Amilcar Cabral International Airport
852,Charles de Gaulle International Airport
853,General Edward Lawrence Logan International Airport
854,Humberto Delgado Airport (Lisbon Portela Airport)
855,Leopold Sedar Senghor International Airport
856,Maio Airport
857,Pinto Martins International Airport
858,Rabil Airport
859,Sao Filipe Airport
860,Sao Pedro Airport
861,Amilcar Cabral International Airport
862,Sao Pedro Airport
863,Amilcar Cabral International Airport
864,Humberto Delgado Airport (Lisbon Portela Airport)
865,Praia International Airport
866,Praia International Airport
867,Amilcar Cabral International Airport
868,Humberto Delgado Airport (Lisbon Portela Airport)
869,Praia International Airport
870,Preguica Airport
871,Lviv International Airport
872,Kiev Zhuliany International Airport
873,Kopitnari Airport
874,Kiev Zhuliany International Airport
875,Lviv International Airport
876,Kiev Zhuliany International Airport
877,Lviv International Airport
878,Kiev Zhuliany International Airport
879,Lviv International Airport
880,Kiev Zhuliany International Airport
881,Kopitnari Airport
882,Cologne Bonn Airport
883,Dortmund Airport
884,Girona Airport
885,Il Caravaggio International Airport
886,Katowice International Airport
887,Kopitnari Airport
888,Larnaca International Airport
889,Memmingen Allgau Airport
890,Treviso-Sant'Angelo Airport
891,Valencia Airport
892,Vilnius International Airport
893,Donetsk International Airport
894,Kharkiv International Airport
895,Kiev Zhuliany International Airport
896,Kiev Zhuliany International Airport
897,Lviv International Airport
898,Ben Gurion International Airport
899,Dortmund Airport
900,Girona Airport
901,Il Caravaggio International Airport
902,Leonardo da Vinci Fiumicino Airport
903,Naples International Airport
904,Treviso-Sant'Angelo Airport
905,Valencia Airport
906,Kiev Zhuliany International Airport
907,Lviv International Airport
908,Kiev Zhuliany International Airport
909,Lviv International Airport
910,Kiev Zhuliany International Airport
911,Lviv International Airport
912,Kiev Zhuliany International Airport
913,Broken Hill Airport
914,Ceduna Airport
915,Coober Pedy Airport
916,Kingscote Airport
917,Mildura Airport
918,Mount Gambier Airport
919,Port Lincoln Airport
920,Whyalla Airport
921,Melbourne International Airport
922,Sydney Kingsford Smith International Airport
923,Sydney Kingsford Smith International Airport
924,Newcastle Airport
925,Sydney Kingsford Smith International Airport
926,Parkes Airport
927,Sydney Kingsford Smith International Airport
928,Adelaide International Airport
929,Dubbo City Regional Airport
930,Mildura Airport
931,Sydney Kingsford Smith International Airport
932,Adelaide International Airport
933,Adelaide International Airport
934,Broken Hill Airport
935,Sydney Kingsford Smith International Airport
936,Taree Airport
937,Narrandera Airport
938,Sydney Kingsford Smith International Airport
939,Mount Isa Airport
940,Richmond Airport
941,Melbourne International Airport
942,Adelaide International Airport
943,Sydney Kingsford Smith International Airport
944,Winton Airport
945,Albury Airport
946,King Island Airport
947,Merimbula Airport
948,Mildura Airport
949,Mount Gambier Airport
950,Wagga Wagga City Airport
951,Wynyard Airport
952,Melbourne International Airport
953,Moruya Airport
954,Sydney Kingsford Smith International Airport
955,Adelaide International Airport
956,Broken Hill Airport
957,Melbourne International Airport
958,Sydney Kingsford Smith International Airport
959,Merimbula Airport
960,Sydney Kingsford Smith International Airport
961,Adelaide International Airport
962,Melbourne International Airport
963,Julia Creek Airport
964,Townsville Airport
965,Griffith Airport
966,Sydney Kingsford Smith International Airport
